metric,structural_length,status,coarse,medium,fine,refinement_ratio,coarse_medium_difference,medium_fine_difference,observed_order,convergence_ratio,extrapolated_limit,estimated_fine_error,estimated_relative_fine_error
intensity_index,,asymptotic,0.6855506230347126,0.7066425210659232,0.7120956232594822,2.0,-0.021091898031210587,-0.00545310219355899,1.9515398295679884,0.25854013638269063,0.7139970691151666,0.0019014458556844138,0.002663100365441015
temporal_deformation_index,,asymptotic,0.169699130365267,0.17048293678823537,0.17071243416846218,2.0,-0.0007838064229683805,-0.00022949738022681743,1.772019710287431,0.2927985450255433,0.17080745164692596,9.50174784637714e-05,0.0005562841524044331
component:heterogeneity,0.0,asymptotic,0.5055028610957073,0.506295316141401,0.5064675939376002,2.0,-0.0007924550456936963,-0.00017227779619921613,2.201592322860001,0.21739756360363413,0.506515450641611,4.785670401075137e-05,9.448221954558453e-05
component:localization,0.0,asymptotic,0.7765075261772865,0.7783313148950237,0.7787440756418732,2.0,-0.0018237887177372514,-0.00041276074684948316,2.1435609223731915,0.22632048484299735,0.7788648184178173,0.00012074277594409377,0.00015502404664954585
component:roughness,0.0,resolved,0.0,0.0,0.0,2.0,0.0,0.0,inf,0.0,0.0,0.0,0.0
component:sign_mixing,0.0,asymptotic,0.9531454217336096,0.953620929882921,0.9537643363414405,2.0,-0.00047550814931140994,-0.00014340645851951273,1.7293600669820821,0.3015857009541932,0.9538262613870375,6.192504559698886e-05,6.492277273529724e-05
component:temporal_deformation,0.0,asymptotic,0.1447245707645135,0.14530214000170136,0.14547030282296672,2.0,-0.0005775692371878527,-0.00016816282126536075,1.7801351239594148,0.2911561254268573,0.14553937534688458,6.90725239178569e-05,0.00047459681445812576
structure_index,0.0,asymptotic,0.47597607595422337,0.47670994018420937,0.47688926174877616,2.0,-0.0007338642299860032,-0.00017932156456679227,2.0329641871261215,0.24435250723449545,0.47694724867300026,5.7986924224096015e-05,0.00012157932430773371
coupled_index,0.0,asymptotic,1.0116319482590619,1.043272372629766,1.051449700668135,2.0,-0.03164042437070402,-0.008177328038369014,1.9520675285920106,0.25844558665086775,1.0542996524775619,0.0028499518094269316,0.0027031705860185566
raw_roughness_index,0.0,resolved,0.0,0.0,0.0,2.0,0.0,0.0,inf,0.0,0.0,0.0,0.0
component:heterogeneity,0.25,asymptotic,0.5055028610957073,0.506295316141401,0.5064675939376002,2.0,-0.0007924550456936963,-0.00017227779619921613,2.201592322860001,0.21739756360363413,0.506515450641611,4.785670401075137e-05,9.448221954558453e-05
