metric,structural_length,fine_value,fine_match_error,certification_status,spatial_status,spatial_observed_order,spatial_extrapolated_limit,spatial_estimated_fine_error,spatial_estimated_relative_fine_error,temporal_status,temporal_observed_order,temporal_extrapolated_limit,temporal_estimated_fine_error,temporal_estimated_relative_fine_error,combined_estimated_fine_error,combined_estimated_relative_fine_error
intensity_index,,0.7121020226991616,0.0,certified,asymptotic,1.9515219051289836,0.7139953102653624,0.0018932875662008852,0.002651680674901392,asymptotic,2.0000698996819857,0.7121035148576356,1.4921584740035243e-06,2.0954235485017063e-06,0.0018947797246748888,0.00266082620786961
temporal_deformation_index,,0.1707156567068343,0.0,certified,asymptotic,1.7582568726415433,0.1708068442585223,9.118755168799342e-05,0.0005338635701856172,asymptotic,1.999929890139006,0.17071650569032062,8.489834863179002e-07,4.97306035456205e-06,9.203653517431132e-05,0.0005391218178210996
component:heterogeneity,0.0,0.5064675771399808,0.0,certified,asymptotic,2.1964547754238803,0.506515626508177,4.804936819624572e-05,9.486255839230268e-05,asymptotic,1.9246832047455338,0.5064676629814246,8.584144384204961e-08,1.694904731660982e-07,4.813520964008777e-05,9.504104865292068e-05
component:localization,0.0,0.778742692047614,0.0,certified,asymptotic,2.141685611363182,0.7788650472160613,0.00012235516844727456,0.0001570941832408774,asymptotic,2.0002126999579666,0.7787424641761604,2.2787145359526306e-07,2.9261465000028037e-07,0.00012258303990086983,0.00015741148026513337
component:roughness,0.0,0.0,0.0,certified,resolved,inf,0.0,0.0,0.0,resolved,inf,0.0,0.0,0.0,0.0,0.0
component:sign_mixing,0.0,0.9537643763926944,0.0,certified,asymptotic,1.7305664341910882,0.9538262174173642,6.184102466977315e-05,6.483468743102651e-05,asymptotic,1.9907088968169688,0.9537643407751686,3.561752581759947e-08,3.734415756061026e-08,6.187664219559075e-05,6.487623539643948e-05
component:temporal_deformation,0.0,0.14547265234729706,0.0,certified,asymptotic,1.7668680116557889,0.14553893623019448,6.628388289742215e-05,0.00045543745621847174,asymptotic,1.9999441150274295,0.14547326073928474,6.083919876775923e-07,4.182156807277073e-06,6.689227488509975e-05,0.00045982714830415775
structure_index,0.0,0.47688945958551726,0.0,certified,asymptotic,2.0319977311466206,0.4769472274604421,5.7767874924841145e-05,0.00012112005605406816,asymptotic,1.986702106777528,0.4768895456688433,8.608332602300095e-08,1.805099877001247e-07,5.7853958250864146e-05,0.00012131523791938538
coupled_index,0.0,1.051459225792468,0.0,certified,asymptotic,1.9520373448473072,1.0542970555194446,0.0028378297269766595,0.002691679458004823,asymptotic,1.9996641389282979,1.0514614687267072,2.242934239227168e-06,2.133158756586015e-06,0.0028400726612158866,0.0027010773138400773
raw_roughness_index,0.0,0.0,0.0,certified,resolved,inf,0.0,0.0,0.0,resolved,inf,0.0,0.0,0.0,0.0,0.0
