study,grid_size,spacing,delta_time,original_material,transformed_material,original_value,transformed_value,absolute_defect,relative_defect,eulerian_difference,observed_order,asymptotic_coefficient
coupled,32.0,0.19634954084936207,0.06872233929727672,0.16025025679798077,0.16005207390017862,,,0.00019818289780215714,0.0012367087689100936,0.500833074311151,,0.005140512200443654
coupled,64.0,0.09817477042468103,0.03436116964863836,0.16003305113135974,0.16000729400963556,,,2.575712172417366e-05,0.0001609487636590236,0.49574470210684485,2.9437891794694275,0.0026723758697605603
coupled,128.0,0.04908738521234052,0.01718058482431918,0.16000640649167427,0.16000146175957658,,,4.944732097694748e-06,3.090333822322321e-05,0.4931357596563106,2.3810071219571762,0.002052121022188305
coupled,256.0,0.02454369260617026,0.00859029241215959,0.1600014854340934,0.16000034349800396,,,1.1419360894382447e-06,7.13703429902607e-06,0.4918152300772295,2.1144104489730315,0.0018956667490432687
spatial,32.0,0.19634954084936207,0.001,0.16012815367991545,0.16003156478338004,,,9.658889653541003e-05,0.0006031974660026632,0.4906395568586679,,0.002505344338860811
spatial,64.0,0.09817477042468103,0.001,0.16000805531296072,0.16000198303774274,,,6.072275217983147e-06,3.7949809502442534e-05,0.4906395568586799,3.9915482666443776,0.0006300161151878012
spatial,128.0,0.04908738521234052,0.001,0.16000052249261704,0.1600001283294475,,,3.941631695481007e-07,2.4635117648836973e-06,0.4906395568586839,3.945372297579975,0.0001635822751204517
spatial,256.0,0.02454369260617026,0.001,0.16000005111127633,0.160000012310314,,,3.880096233199737e-08,2.425059371075588e-07,0.4906395568586813,3.3446286384814883,6.441139290013264e-05
temporal,512.0,0.01227184630308513,0.16,0.16055262292730943,0.1601046859686135,,,0.0004479369586959381,0.002789969734089879,0.513496437804644,,0.01749753744906008
temporal,512.0,0.01227184630308513,0.08,0.16012876976567336,0.16002767726553424,,,0.00010109250013912163,0.0006313200325404157,0.5024651811465747,2.147619735594533,0.015795703146737755
temporal,512.0,0.01227184630308513,0.04,0.1600316038756271,0.16000711627948622,,,2.4487596140876366e-05,0.0001530172512668658,0.49659160763050547,2.045552908612719,0.015304747588047729
temporal,512.0,0.01227184630308513,0.02,0.16000786551326382,0.160001804647042,,,6.060866221818673e-06,3.787855179729435e-05,0.49356684115336813,2.014455252483571,0.015152165554546682
temporal,512.0,0.01227184630308513,0.01,0.16000196554204016,0.1600004547193726,,,1.5108226675553116e-06,9.442525674213335e-06,0.4920326669930465,2.0041896646213058,0.015108226675553116
semilagrangian_subcell,32.0,0.19634954084936207,0.173,,,0.21023372590238704,0.20499810483539743,0.005235621066989632,0.02490381143423471,,,0.13580270684419812
semilagrangian_subcell,64.0,0.09817477042468103,0.173,,,0.1669936335406525,0.17303397070207593,0.006040337161423437,0.0349083890112161,,-0.2062683959516752,0.6267024494532827
semilagrangian_subcell,128.0,0.04908738521234052,0.173,,,0.1607328379076025,0.16196047938069577,0.0012276414730932605,0.007579882930623039,,2.2987397906672102,0.5094854129345836
semilagrangian_subcell,256.0,0.02454369260617026,0.173,,,0.16031890670805793,0.1605323965976103,0.0002134898895523596,0.0013298866401869791,,2.523649636463751,0.3544030954310375
