time,intensity_rate,structure_rate,coupled_rate,heterogeneity,localization,roughness,sign_mixing,temporal_deformation
0.000000000000000000e+00,6.121744098371357801e-01,5.942080437126832093e-01,9.778825033855512716e-01,1.059753811955356229e+00,4.048916294066486010e+00,1.190765788833187067e+00,9.364721236505334501e-01,2.115041648306704158e-01
2.500000000000000139e-02,6.146196804852317452e-01,5.941715241110545609e-01,9.798119885742089252e-01,1.059847562595790160e+00,4.039925325407016210e+00,1.191206411663714659e+00,9.367253662362474698e-01,2.112256648207336274e-01
5.000000000000000278e-02,6.170720783504445306e-01,5.940969064154126844e-01,9.836751629986234535e-01,1.059926850856795388e+00,4.030643928624365380e+00,1.191708820559415516e+00,9.369832883660510481e-01,2.106582529720489871e-01
7.500000000000001110e-02,6.195307961347964465e-01,5.940188376546468030e-01,9.875459040244228826e-01,1.059972730404781238e+00,4.021083809309342172e+00,1.192265725985186098e+00,9.372464012592885974e-01,2.100701919707100851e-01
1.000000000000000056e-01,6.219950186763735234e-01,5.939367308797720568e-01,9.914225204557773896e-01,1.059982222981400657e+00,4.011256796731236030e+00,1.192873568350168778e+00,9.375147072286378336e-01,2.094618366189162362e-01
1.250000000000000000e-01,6.244639232832156495e-01,5.938498813347299343e-01,9.953032297347833568e-01,1.059932055106332038e+00,4.001174824442109035e+00,1.193529370089337904e+00,9.377888362634269059e-01,2.088335532605097300e-01
1.500000000000000222e-01,6.269366800763760406e-01,5.937576377851019327e-01,9.991862649613785230e-01,1.059806250825617413e+00,3.990849911290246688e+00,1.194230871981031727e+00,9.380691788926098784e-01,2.081857196940323784e-01
1.750000000000000167e-01,6.294124523419688533e-01,5.936599564007170038e-01,1.003070224719258885e+00,1.059598535967097854e+00,3.980294142873502139e+00,1.194974964621032587e+00,9.383558168265475619e-01,2.075187250834898967e-01
2.000000000000000111e-01,6.318903968920179803e-01,5.935572452926853870e-01,1.006953982126385760e+00,1.059335604434369138e+00,3.969519653460659825e+00,1.195759112943354907e+00,9.386478171095410383e-01,2.068329698667614736e-01
2.250000000000000056e-01,6.343696644338969737e-01,5.934498321265651022e-01,1.010836353716536795e+00,1.059011758559297744e+00,3.958538608406561465e+00,1.196581146928465955e+00,9.389452484230644824e-01,2.061288656614887471e-01
2.500000000000000000e-01,6.368493999481267265e-01,5.933381268460861113e-01,1.014716203211363243e+00,1.058643274887369756e+00,3.947363187084054204e+00,1.197439239748229634e+00,9.392475087455258720e-01,2.054068351683361326e-01
2.750000000000000222e-01,6.393287430742936595e-01,5.932226077131693698e-01,1.018592433569934341e+00,1.058241313033700726e+00,3.936005566353545149e+00,1.198331700439476455e+00,9.395541595221529318e-01,2.046673120714694871e-01
3.000000000000000444e-01,6.418068285048161847e-01,5.931035299138238681e-01,1.022463801843138231e+00,1.057810808732160268e+00,3.924477904588399291e+00,1.199256980680873275e+00,9.398649553720257455e-01,2.039107409360717549e-01
3.250000000000000111e-01,6.442827863862840010e-01,5.929809536874254272e-01,1.026328935240060414e+00,1.057352235774698501e+00,3.912792326272066745e+00,1.200213059690969031e+00,9.401797868931206503e-01,2.031375771027091326e-01
3.500000000000000333e-01,6.467557427280673510e-01,5.928548600099462496e-01,1.030186404288744972e+00,1.056862490863756721e+00,3.900960907180541781e+00,1.201198208605492868e+00,9.404986509988384480e-01,2.023482865783776674e-01
3.750000000000000000e-01,6.492248198178839358e-01,5.927252066072815628e-01,1.034034758768771933e+00,1.056341684608374409e+00,3.888995660161453927e+00,1.202211055186472866e+00,9.408214474749910794e-01,2.015433459239756031e-01
4.000000000000000222e-01,6.516891366439881983e-01,5.925920608800335776e-01,1.037872614997798593e+00,1.055783275227674123e+00,3.876908521518878992e+00,1.203250576952325401e+00,9.411482714787552384e-01,2.007232421379389065e-01
4.250000000000000444e-01,6.541478093236366975e-01,5.924556973782296732e-01,1.041698721373825132e+00,1.055200337244949882e+00,3.864711338010916819e+00,1.204315556561103895e+00,9.414786406028028409e-01,1.998884725358455738e-01
4.500000000000000111e-01,6.565999515374628670e-01,5.923163963236391938e-01,1.045511829263040315e+00,1.054592903499879331e+00,3.852415854464943834e+00,1.205405025219421500e+00,9.418124598782420254e-01,1.990395446256499612e-01
4.750000000000000333e-01,6.590446749693839035e-01,5.921743361341482714e-01,1.049310623150293997e+00,1.053966862987816722e+00,3.840033702013535333e+00,1.206518559830298987e+00,9.421494652561813732e-01,1.981769759782315010e-01
5.000000000000000000e-01,6.614810897516436583e-01,5.920297326739315524e-01,1.053093812328163459e+00,1.053318710165972005e+00,3.827576386952138421e+00,1.207655007253238821e+00,9.424896665438982080e-01,1.973012940929503301e-01
5.250000000000000222e-01,6.639083049145831916e-01,5.918828237159172723e-01,1.056860121469592517e+00,1.052661877328967766e+00,3.815055280217861444e+00,1.208813417389932310e+00,9.428325878453815978e-01,1.964130362578482003e-01
5.500000000000000444e-01,6.663254288407217674e-01,5.917337433093091681e-01,1.060608208066490921e+00,1.051987490977061235e+00,3.802481607486906334e+00,1.209992804026284174e+00,9.431783956071597697e-01,1.955127494040948544e-01
5.750000000000000666e-01,6.687315697227059763e-01,5.915827260933184117e-01,1.064336798778634741e+00,1.051303868932571772e+00,3.789866439886679927e+00,1.211192305506699762e+00,9.435267656634441780e-01,1.946009899542467947e-01
6.000000000000000888e-01,6.711258360246914467e-01,5.914300002596877270e-01,1.068044618924506306e+00,1.050616356645057925e+00,3.777220685317033144e+00,1.212411079493782573e+00,9.438774632633061268e-01,1.936783236639311179e-01
6.250000000000000000e-01,6.735073369466912929e-01,5.912754952859430313e-01,1.071730196686694558e+00,1.049918281696181621e+00,3.764555080373671814e+00,1.213648022148135608e+00,9.442305925255457533e-01,1.927453254564165941e-01
6.500000000000000222e-01,6.758751828914304483e-01,5.911192063682453313e-01,1.075392107003624087e+00,1.049201241344099866e+00,3.751880182865428459e+00,1.214902548358033130e+00,9.445863012058084429e-01,1.918025792496109161e-01
6.750000000000000444e-01,6.782284859332282645e-01,5.909614638916345086e-01,1.079029155363249393e+00,1.048476715321949637e+00,3.739206364915841796e+00,1.216175041783452260e+00,9.449441848128316002e-01,1.908506777749342520e-01
7.000000000000000666e-01,6.805663602884257646e-01,5.908025327985321207e-01,1.082640109546545881e+00,1.047750083964735568e+00,3.726543806638400902e+00,1.217463173509011565e+00,9.453040141041573197e-01,1.898902223874917028e-01
7.250000000000000888e-01,6.828879227868651647e-01,5.906424584830005653e-01,1.086223594922791857e+00,1.047015980300419091e+00,3.713902490373639509e+00,1.218765535658375310e+00,9.456658558783324064e-01,1.889218228669709287e-01
7.500000000000000000e-01,6.851922933439273944e-01,5.904812858359236305e-01,1.089778242580848433e+00,1.046276118787549780e+00,3.701292195475400781e+00,1.220080989293679918e+00,9.460295827088385234e-01,1.879460972086044457e-01
7.750000000000000222e-01,6.874785954326232407e-01,5.903191006878935054e-01,1.093302718494805426e+00,1.045526831817634505e+00,3.688722493632662136e+00,1.221408748680896217e+00,9.463952130646957617e-01,1.869636714035648462e-01
8.000000000000000444e-01,6.897459565552330751e-01,5.901559665355773365e-01,1.096795681043268411e+00,1.044770597662658007e+00,3.676202744712555592e+00,1.222748362008731826e+00,9.467625998605796456e-01,1.859751792080644450e-01
8.250000000000000666e-01,6.919935087139851282e-01,5.899917661823794734e-01,1.100255671860053575e+00,1.044000659206029580e+00,3.663742093109443765e+00,1.224098440327804571e+00,9.471318422915905311e-01,1.849812619004692626e-01
8.500000000000000888e-01,6.942203888802656042e-01,5.898262456972576118e-01,1.103681145362090055e+00,1.043206561728821979e+00,3.651349464584393800e+00,1.225458021365499972e+00,9.475031321197093792e-01,1.839825680256368390e-01
