time,intensity_rate,structure_rate,coupled_rate,heterogeneity,localization,roughness,sign_mixing,temporal_deformation
0.000000000000000000e+00,4.068391131041967590e+00,3.463453348802086884e-02,4.231453948140024401e+00,2.492493961406588767e-15,0.000000000000000000e+00,4.117609720795644161e-14,0.000000000000000000e+00,2.094423595116275127e-01
2.500000000000000139e-02,4.111219757983160861e+00,3.455668238395440128e-02,4.253343690811915323e+00,2.655571292929161279e-15,-2.220446049250313081e-16,4.410653773251215382e-14,0.000000000000000000e+00,2.088735112868301824e-01
5.000000000000000278e-02,4.154262926074007822e+00,3.439846772761530336e-02,4.297214388754682091e+00,2.608480480139990516e-15,-1.110223024625156540e-15,4.254316480482785947e-14,0.000000000000000000e+00,2.077185781764879779e-01
7.500000000000001110e-02,4.197510723811454625e+00,3.423526803238707145e-02,4.341262128365601214e+00,2.668318000927895967e-15,0.000000000000000000e+00,4.399710746506622448e-14,0.000000000000000000e+00,2.065295649458376570e-01
1.000000000000000056e-01,4.240953042567151776e+00,3.406716214592737935e-02,4.385476044851704280e+00,2.659778277409417386e-15,0.000000000000000000e+00,4.395513224952217786e-14,0.000000000000000000e+00,2.053072520259061617e-01
1.250000000000000000e-01,4.284579579202063115e+00,3.389422719189648381e-02,4.429845079616967496e+00,2.749733204121351370e-15,-2.220446049250313081e-16,4.483539564363970678e-14,0.000000000000000000e+00,2.040524078518411166e-01
1.500000000000000222e-01,4.328379838860524131e+00,3.371653859169740364e-02,4.474357983680892659e+00,2.818003887567819681e-15,6.661338147750939243e-16,4.795631072630418501e-14,0.000000000000000000e+00,2.027657887664444381e-01
1.750000000000000167e-01,4.372343137942620750e+00,3.353417008659573262e-02,4.519003321279192242e+00,3.194176210387259372e-15,6.661338147750939243e-16,5.284984421448457776e-14,0.000000000000000000e+00,2.014481389433148140e-01
2.000000000000000111e-01,4.416458607253782809e+00,3.334719376016555964e-02,4.563769473644908814e+00,3.097765240993572593e-15,2.220446049250313081e-16,5.091709478657321973e-14,0.000000000000000000e+00,2.001001903285319905e-01
2.250000000000000056e-01,4.460715195330081428e+00,3.315568006101153598e-02,4.608644642968071636e+00,2.695496482854622126e-15,2.220446049250313081e-16,4.513344516422382384e-14,0.000000000000000000e+00,1.987226625998651797e-01
